item_type,step,loss_nonparametric,loss_parametric,held_out_test_loss_nll,held_out_pearson,held_out_spearman
Y/N Vocab,1,0.5744,0.6103,0.6661,0.588,0.4398
Y/N Vocab,2,0.5775,0.6011,0.6472,0.568,0.412
Y/N Vocab,3,0.5668,0.5833,0.6169,0.5757,0.4443
Y/N Vocab,4,0.5566,0.5766,0.623,0.5649,0.4348
Y/N Vocab,5,0.5594,0.5774,0.6245,0.5811,0.436
Y/N Vocab,6,0.5612,0.5737,0.6023,0.5742,0.4369
Y/N Vocab,7,0.5437,0.5623,0.6087,0.5478,0.4606
Y/N Vocab,8,0.5431,0.5567,0.588,0.5868,0.4641
Y/N Vocab,9,0.537,0.5541,0.587,0.5894,0.4749
Y/N Vocab,10,0.5331,0.5511,0.5895,0.5966,0.4814
Y/N Vocab,11,0.5341,0.5469,0.5923,0.5705,0.4579
Y/N Vocab,12,0.5297,0.5429,0.5756,0.5846,0.4835
Y/N Vocab,13,0.525,0.5397,0.5816,0.5834,0.4744
Y/N Vocab,14,0.5246,0.5374,0.5914,0.633,0.4956
Y/N Vocab,15,0.5246,0.5433,0.5797,0.599,0.4918
Y/N Vocab,16,0.5271,0.5398,0.5765,0.5909,0.4892
Y/N Vocab,17,0.526,0.5471,0.6084,0.6154,0.4706
Y/N Vocab,18,0.529,0.5407,0.6004,0.5751,0.4547
Y/N Vocab,19,0.527,0.5387,0.5964,0.5714,0.4837
Y/N Vocab,20,0.5256,0.5389,0.5893,0.5734,0.4837
Y/N Vocab,21,0.5252,0.5366,0.587,0.5644,0.4773
ViC,1,0.5523,0.6123,0.6795,0.4308,0.2844
ViC,2,0.5546,0.5896,0.6522,0.4248,0.3543
ViC,3,0.5376,0.5775,0.6195,0.4594,0.3464
ViC,4,0.5243,0.5618,0.6128,0.4857,0.3486
ViC,5,0.5173,0.5566,0.6138,0.5054,0.3706
ViC,6,0.5168,0.5519,0.5895,0.538,0.3986
ViC,7,0.4969,0.5329,0.5735,0.5608,0.4072
ViC,8,0.4842,0.5199,0.5644,0.5035,0.39
ViC,9,0.4635,0.5011,0.556,0.4988,0.4191
ViC,10,0.4613,0.4967,0.5476,0.5183,0.4155
ViC,11,0.4548,0.4923,0.5566,0.4847,0.3991
ViC,12,0.4538,0.4895,0.549,0.4772,0.3945
ViC,13,0.4503,0.4912,0.5508,0.4806,0.3989
ViC,14,0.4473,0.4826,0.5493,0.5008,0.4158
ViC,15,0.4542,0.4903,0.5467,0.502,0.4288
ViC,16,0.4434,0.4793,0.5474,0.4932,0.4117
ViC,17,0.4444,0.4796,0.5444,0.5118,0.4314
ViC,18,0.4395,0.4743,0.5418,0.5189,0.4208
ViC,19,0.439,0.4763,0.5557,0.4577,0.4089
ViC,20,0.4402,0.4765,0.5441,0.501,0.4113
