backend,item_type,split,n_steps_run,stopped_reason,elapsed_seconds,test_loss_nll,item_grade_pearson_r,item_grade_spearman_r,ability_recovery_pearson_r
ensemble,Y/N Vocab,Cold,20,hit_max_em_steps,431.3,0.5893080178410389,0.5734023012068883,0.48367127427885687,0.7909305386567578
ensemble,Y/N Vocab,Jump 20,13,converged,264.8,0.5455706439929829,0.8623122869084576,0.6835581441253316,0.8333071396165411
ensemble,Y/N Vocab,Jump 40,12,converged,212.6,0.5435756507887536,0.9004426260515124,0.7527550235863659,0.818138584103291
ensemble,Y/N Vocab,Jump 80,10,converged,176.1,0.5409515248637364,0.9221977647405353,0.8151780269766695,0.8039938636126003
ensemble,Y/N Vocab,Warm 05-08,9,converged,161.5,0.5267154679601392,0.9684801041971713,0.8764958442597448,0.84876818858413
ensemble,Y/N Vocab,Warm 05-15,9,converged,165.6,0.5279196082610749,0.9642323856931256,0.882530465882864,0.8499155876168122
autogluon,Y/N Vocab,Cold,20,hit_max_em_steps,1029.9,0.5707999965650417,0.5970444309238856,0.514570425352238,0.8413600118460962
autogluon,Y/N Vocab,Jump 20,14,converged,566.7,0.5293172672197115,0.8876227065507528,0.7397948525601289,0.836318141269514
autogluon,Y/N Vocab,Jump 40,16,converged,679.8,0.5288483061735615,0.9135410944126756,0.7580832840791538,0.8214214269881823
autogluon,Y/N Vocab,Jump 80,13,converged,547.4,0.517958050966428,0.9422116625446859,0.8540280299111365,0.8107610576027978
autogluon,Y/N Vocab,Warm 05-08,10,converged,709.4,0.5154607535343713,0.9712020496078011,0.9011252954581945,0.8555617341987254
autogluon,Y/N Vocab,Warm 05-15,9,converged,808.1,0.5176891464057818,0.9657438908877798,0.8803845870103406,0.8522093553721668
ensemble,ViC,Cold,20,converged,317.5,0.5440765610717736,0.5010137974355977,0.4112707091733041,0.8092739050379343
ensemble,ViC,Jump 20,13,converged,206.9,0.4719910415345251,0.9127855079557213,0.8613188309640496,0.8149740412895992
ensemble,ViC,Jump 40,18,converged,282.4,0.4655794793570044,0.935978735181632,0.9122767948867089,0.8125511567430103
ensemble,ViC,Jump 80,14,converged,219.8,0.46193355494946187,0.9434838901640148,0.918922403452274,0.8053291212240037
ensemble,ViC,Warm 05-08,11,converged,175.4,0.4611110337064654,0.9722133856844296,0.969074340115196,0.8395544557143482
ensemble,ViC,Warm 05-15,10,converged,168.1,0.46169658456800344,0.9691082169814687,0.9764650726676044,0.8390070520475559
autogluon,ViC,Cold,13,converged,262.0,0.5682010491158758,0.43497213364298243,0.40400168832646155,0.8035467818437598
autogluon,ViC,Jump 20,15,converged,405.8,0.47077489772712977,0.8984729922156415,0.8511486169714019,0.8187438369962572
autogluon,ViC,Jump 40,17,converged,472.7,0.4571554965540198,0.9365911160270699,0.9238099145137214,0.8163382077674428
autogluon,ViC,Jump 80,17,converged,495.1,0.4509185037345189,0.9341480283808906,0.9239490933582758,0.7991501788182623
autogluon,ViC,Warm 05-08,10,converged,396.3,0.4441044132176705,0.9607083662224392,0.9810358771199849,0.8403111239591012
autogluon,ViC,Warm 05-15,10,converged,374.9,0.44805222470078593,0.9553690476989773,0.976416809975509,0.8357723453525778
