item_type,split,n_steps_run,stopped_reason,elapsed_seconds,test_loss_nll,item_grade_pearson_r,item_grade_spearman_r,ability_recovery_pearson_r
Y/N Vocab,Cold,7,converged,904.6,0.6176100729139483,0.573924567507824,0.34928135967373986,0.8751548467213551
Y/N Vocab,Jump 20,7,converged,1127.5,0.617102336550079,0.6749319135519117,0.43561070889302234,0.8692405431322814
Y/N Vocab,Jump 40,7,converged,1006.1,0.6100278330041989,0.6653901688389536,0.4346697251972331,0.8628774910733209
Y/N Vocab,Jump 80,7,converged,1104.4,0.62502765413849,0.7055503174805254,0.5283793189686318,0.8448011812936066
Y/N Vocab,Warm 05-08,10,converged,1700.2,0.592038861302921,0.6179059838206569,0.39110565329664804,0.8809957848848506
Y/N Vocab,Warm 05-15,10,converged,1705.3,0.5917453144545131,0.6002567741550802,0.3644405250710431,0.8809755892667382
ViC,Cold,7,converged,377.9,0.6460331240155619,0.5888257251602032,0.33876910288546114,0.8616924246274332
ViC,Jump 20,7,converged,407.6,0.6341656441329254,0.7434471775952811,0.4300734781996372,0.8617481628786492
ViC,Jump 40,7,converged,401.5,0.6263293077137515,0.7706081425972969,0.4676781211498627,0.8614228928932561
ViC,Jump 80,7,converged,413.2,0.6266237954667152,0.8152154933051857,0.5081801735166128,0.8559649975108543
ViC,Warm 05-08,12,converged,812.5,0.5655201998412497,0.8707906572578732,0.48688747531643645,0.860998734384188
ViC,Warm 05-15,13,converged,882.3,0.5622903005353308,0.868748342838015,0.49466086726891945,0.8647014307088776
