item_type,split,n_replications,test_loss_nll_mean,item_grade_pearson_r_mean,item_grade_spearman_r_mean,ability_recovery_pearson_r_mean,n_steps_run_mean,test_loss_nll_std,item_grade_pearson_r_std,item_grade_spearman_r_std,ability_recovery_pearson_r_std,n_steps_run_std,item_grade_pearson_r_per_replication
Y/N Vocab,Cold,10,0.5541194492973316,0.6192741462162451,0.5346480891599196,0.8535982777043039,14.0,0.015372966750051028,0.07370672630253969,0.07538866382751065,0.00904538550444062,3.3466401061363023,"[np.float64(0.713), np.float64(0.523), np.float64(0.524), np.float64(0.716), np.float64(0.66), np.float64(0.692), np.float64(0.558), np.float64(0.656), np.float64(0.606), np.float64(0.544)]"
Y/N Vocab,Jump 20,10,0.5308521162977213,0.8571192036034168,0.7670750504658614,0.8524496239667114,12.6,0.013264897078031237,0.01972061795082588,0.032096384037322886,0.007387773438004691,2.4166091947189146,"[np.float64(0.88), np.float64(0.861), np.float64(0.883), np.float64(0.876), np.float64(0.854), np.float64(0.846), np.float64(0.829), np.float64(0.863), np.float64(0.859), np.float64(0.82)]"
Y/N Vocab,Jump 40,10,0.5275708178336568,0.8979158401811713,0.7998374628371929,0.8459673790453588,12.1,0.014722757670881204,0.009638443901599184,0.03332251699668591,0.008948304400907872,1.9209372712298547,"[np.float64(0.905), np.float64(0.916), np.float64(0.894), np.float64(0.883), np.float64(0.89), np.float64(0.907), np.float64(0.906), np.float64(0.894), np.float64(0.897), np.float64(0.887)]"
Y/N Vocab,Jump 80,10,0.5234098880325785,0.9283617021069294,0.8514925313389551,0.8339157295089088,11.2,0.012827243015075224,0.015261491374266793,0.029149105626507837,0.010611971520227657,1.32664991614216,"[np.float64(0.922), np.float64(0.95), np.float64(0.936), np.float64(0.903), np.float64(0.93), np.float64(0.943), np.float64(0.936), np.float64(0.934), np.float64(0.9), np.float64(0.93)]"
Y/N Vocab,Warm 05-08,10,0.5187500228848128,0.9648660641274468,0.9073376783185416,0.8653922639266959,9.3,0.01305900598183045,0.006897844224990114,0.025761967532159726,0.006104479297903493,1.004987562112089,"[np.float64(0.967), np.float64(0.969), np.float64(0.961), np.float64(0.947), np.float64(0.967), np.float64(0.972), np.float64(0.966), np.float64(0.962), np.float64(0.966), np.float64(0.972)]"
Y/N Vocab,Warm 05-15,10,0.5188305569864949,0.9651754973266147,0.9038541484557993,0.8660472519944241,9.5,0.012843898804817913,0.004853382516722051,0.026186856054346324,0.0058444132403711975,0.806225774829855,"[np.float64(0.967), np.float64(0.966), np.float64(0.964), np.float64(0.952), np.float64(0.965), np.float64(0.968), np.float64(0.972), np.float64(0.965), np.float64(0.965), np.float64(0.968)]"
ViC,Cold,10,0.5492408254143626,0.572071666639539,0.5468973206646874,0.8000908793583686,16.8,0.04514390560324136,0.10426959654617621,0.07506001281569336,0.03505456726145236,4.093897898091744,"[np.float64(0.647), np.float64(0.614), np.float64(0.699), np.float64(0.584), np.float64(0.666), np.float64(0.482), np.float64(0.624), np.float64(0.568), np.float64(0.514), np.float64(0.323)]"
ViC,Jump 20,10,0.4772982471984616,0.9025888116423249,0.861105449513053,0.8225797235816955,17.8,0.016572755848729227,0.01902063618772921,0.024707727827999255,0.013211567154204885,2.5612496949731396,"[np.float64(0.908), np.float64(0.9), np.float64(0.916), np.float64(0.915), np.float64(0.924), np.float64(0.928), np.float64(0.895), np.float64(0.867), np.float64(0.898), np.float64(0.874)]"
ViC,Jump 40,10,0.4729267951220287,0.9272292579791565,0.8863113362328269,0.8172012037471766,17.4,0.014563004287868164,0.016493820311352263,0.027154101194184033,0.014001388054966082,2.615339366124404,"[np.float64(0.925), np.float64(0.935), np.float64(0.924), np.float64(0.927), np.float64(0.941), np.float64(0.946), np.float64(0.934), np.float64(0.882), np.float64(0.927), np.float64(0.929)]"
ViC,Jump 80,10,0.4824848505545692,0.9431323134016942,0.902169791829895,0.8033258338214608,13.5,0.03502060214796159,0.013601740508275815,0.0219645493032318,0.012942078975413964,4.080441152620633,"[np.float64(0.949), np.float64(0.944), np.float64(0.945), np.float64(0.949), np.float64(0.943), np.float64(0.955), np.float64(0.955), np.float64(0.907), np.float64(0.931), np.float64(0.951)]"
ViC,Warm 05-08,10,0.46684354127670924,0.9630158107455287,0.9449976688369152,0.8368618473871688,12.2,0.012121697851837629,0.0031742021781424167,0.012204766059109758,0.008807827369646044,2.4819347291981715,"[np.float64(0.968), np.float64(0.965), np.float64(0.963), np.float64(0.963), np.float64(0.966), np.float64(0.96), np.float64(0.958), np.float64(0.964), np.float64(0.959), np.float64(0.965)]"
ViC,Warm 05-15,10,0.4638980784803752,0.9644953480815719,0.948380137977076,0.8385863555107909,11.8,0.012295402169765907,0.0032323930292691557,0.009976960046286022,0.010359370258025467,2.85657137141714,"[np.float64(0.969), np.float64(0.962), np.float64(0.965), np.float64(0.967), np.float64(0.966), np.float64(0.966), np.float64(0.962), np.float64(0.963), np.float64(0.958), np.float64(0.968)]"
