item_type,split,n_replications,test_loss_nll_mean,item_grade_pearson_r_mean,item_grade_spearman_r_mean,ability_recovery_pearson_r_mean,n_steps_run_mean,test_loss_nll_std,item_grade_pearson_r_std,item_grade_spearman_r_std,ability_recovery_pearson_r_std,n_steps_run_std,item_grade_pearson_r_per_replication
Y/N Vocab,Cold,10,0.6305677602631496,0.29520032323343715,0.22650751937568708,0.8270746609839053,7.5,0.008872695095839832,0.09502949643433728,0.07186248781869155,0.03323272003393703,0.806225774829855,"[np.float64(0.298), np.float64(0.182), np.float64(0.23), np.float64(0.441), np.float64(0.322), np.float64(0.418), np.float64(0.274), np.float64(0.409), np.float64(0.188), np.float64(0.19)]"
Y/N Vocab,Jump 20,10,0.6327456293256724,0.4387541349812806,0.3822622714610005,0.8184932642675908,7.3,0.014719433364759772,0.07533244538921544,0.05388337719982243,0.02922387448236406,0.9,"[np.float64(0.484), np.float64(0.449), np.float64(0.429), np.float64(0.452), np.float64(0.448), np.float64(0.395), np.float64(0.57), np.float64(0.517), np.float64(0.351), np.float64(0.293)]"
Y/N Vocab,Jump 40,10,0.6287490341929208,0.5307613923636935,0.46426995646862296,0.8263043454675445,7.7,0.012123699361067873,0.09802905830686631,0.07667388089636049,0.02506599602061647,2.1,"[np.float64(0.485), np.float64(0.52), np.float64(0.7), np.float64(0.572), np.float64(0.387), np.float64(0.53), np.float64(0.702), np.float64(0.508), np.float64(0.438), np.float64(0.464)]"
Y/N Vocab,Jump 80,10,0.6248325576532411,0.5964874537489024,0.509306378903305,0.8180995889243551,8.2,0.013066529732648133,0.09968472982129728,0.07033844199012079,0.02911772260892713,2.4,"[np.float64(0.586), np.float64(0.535), np.float64(0.7), np.float64(0.692), np.float64(0.407), np.float64(0.752), np.float64(0.637), np.float64(0.513), np.float64(0.519), np.float64(0.622)]"
Y/N Vocab,Warm 05-08,10,0.606629908922529,0.6727449121144439,0.575993866732989,0.8719312620873264,7.8,0.01922363209748604,0.07050882130195607,0.07610989187883467,0.023908238762272722,1.661324772583615,"[np.float64(0.799), np.float64(0.612), np.float64(0.642), np.float64(0.718), np.float64(0.594), np.float64(0.671), np.float64(0.631), np.float64(0.706), np.float64(0.583), np.float64(0.772)]"
Y/N Vocab,Warm 05-15,10,0.595985984193286,0.6715114784136532,0.5802793896001754,0.8841523099177995,10.7,0.019971716540830995,0.07046077947914466,0.08194215803823979,0.023697918475840973,3.716180835212409,"[np.float64(0.749), np.float64(0.679), np.float64(0.699), np.float64(0.743), np.float64(0.672), np.float64(0.552), np.float64(0.64), np.float64(0.542), np.float64(0.699), np.float64(0.741)]"
ViC,Cold,10,0.6756499564994837,0.41935131179963275,0.3035659591093444,0.8031864351841251,8.4,0.014592197819077118,0.12816286693181908,0.10088315472681328,0.030896079622941757,3.104834939252005,"[np.float64(0.427), np.float64(0.393), np.float64(0.488), np.float64(0.601), np.float64(0.551), np.float64(0.267), np.float64(0.411), np.float64(0.488), np.float64(0.429), np.float64(0.136)]"
ViC,Jump 20,10,0.6634546466650677,0.6069569814022764,0.4505933400053862,0.8095994999261343,9.5,0.012201678434119565,0.12586596978973727,0.10956424060217669,0.02127234035020279,3.4132096331752027,"[np.float64(0.721), np.float64(0.627), np.float64(0.365), np.float64(0.735), np.float64(0.562), np.float64(0.747), np.float64(0.611), np.float64(0.398), np.float64(0.635), np.float64(0.67)]"
ViC,Jump 40,10,0.6709622533749874,0.6821279245823468,0.5219002830722197,0.8149948021820721,7.7,0.00784838739681919,0.07151247575177308,0.05177023272686817,0.029110906513462546,1.004987562112089,"[np.float64(0.666), np.float64(0.683), np.float64(0.618), np.float64(0.786), np.float64(0.639), np.float64(0.743), np.float64(0.684), np.float64(0.527), np.float64(0.73), np.float64(0.745)]"
ViC,Jump 80,10,0.6659550654555199,0.7610162341753384,0.5951274334322381,0.8031908566471044,7.0,0.010961450408182978,0.06643170292393298,0.10012937062610093,0.02398476177076439,0.0,"[np.float64(0.77), np.float64(0.802), np.float64(0.769), np.float64(0.815), np.float64(0.764), np.float64(0.704), np.float64(0.798), np.float64(0.587), np.float64(0.778), np.float64(0.824)]"
ViC,Warm 05-08,10,0.6075448099571115,0.8046836511204196,0.6012347486249137,0.863198498152752,11.4,0.046168999882412236,0.07922155408214047,0.08845846981157415,0.03492056504500521,4.521061822182927,"[np.float64(0.874), np.float64(0.847), np.float64(0.836), np.float64(0.849), np.float64(0.803), np.float64(0.784), np.float64(0.789), np.float64(0.596), np.float64(0.773), np.float64(0.894)]"
ViC,Warm 05-15,10,0.5895284091742161,0.8149356201663801,0.6561900115420884,0.8765625532799832,13.2,0.0420937267032762,0.07136411172204178,0.048940505880029544,0.019190445146837803,4.5563142999578075,"[np.float64(0.862), np.float64(0.864), np.float64(0.838), np.float64(0.866), np.float64(0.747), np.float64(0.827), np.float64(0.75), np.float64(0.651), np.float64(0.851), np.float64(0.892)]"
