item_type,split,n_replications,test_loss_nll_mean,item_grade_pearson_r_mean,item_grade_spearman_r_mean,ability_recovery_pearson_r_mean,n_steps_run_mean,test_loss_nll_std,item_grade_pearson_r_std,item_grade_spearman_r_std,ability_recovery_pearson_r_std,n_steps_run_std,gap_vs_paper,item_grade_pearson_r_per_replication
Y/N Vocab,Cold,3,0.5562931649379418,0.7579693002971458,0.6803079831022978,0.8470449577517165,11.666666666666666,0.007444908792891217,0.010603570798019596,0.0050975915599736545,0.002642640676554096,0.4714045207910317,0.02703069970285421,"[np.float64(0.759), np.float64(0.771), np.float64(0.745)]"
Y/N Vocab,Jump 20,3,0.5555068939656883,0.7984086588812941,0.735638914320219,0.8081632316109276,10.666666666666666,0.012613026125544005,0.00592947613167049,0.007751535390809499,0.0054109376829408,2.6246692913372702,0.13759134111870597,"[np.float64(0.807), np.float64(0.794), np.float64(0.794)]"
Y/N Vocab,Jump 40,3,0.5467320995605586,0.7170716410469963,0.6919854580143281,0.7694518501264449,11.333333333333334,0.006813925655938154,0.00305193726776435,0.005397115589496718,0.00484114466009153,1.247219128924647,0.23792835895300368,"[np.float64(0.719), np.float64(0.713), np.float64(0.72)]"
Y/N Vocab,Jump 80,3,0.5459931773874027,0.8578102073253001,0.7891416522439397,0.7470447721890393,13.0,0.006460180074023711,0.007823025563583837,0.010767271807651515,0.0069333774210071746,1.4142135623730951,0.11318979267469986,"[np.float64(0.861), np.float64(0.866), np.float64(0.847)]"
Y/N Vocab,Warm 05-08,3,0.547266293302552,0.847358180062304,0.7665517813989254,0.8502568608214333,9.0,0.005236893576898949,0.0054106537828985946,0.00399697926553736,0.0031145064014799885,0.0,0.13964181993769598,"[np.float64(0.855), np.float64(0.846), np.float64(0.842)]"
Y/N Vocab,Warm 05-15,3,0.547778884669047,0.8473205409937022,0.7698705507549195,0.8492830964864821,8.333333333333334,0.005315615368116778,0.012385570533585806,0.01291245198107317,0.003312388374270844,0.4714045207910317,0.13967945900629775,"[np.float64(0.855), np.float64(0.857), np.float64(0.83)]"
ViC,Cold,3,0.5377781246174792,0.6607532050861696,0.564900957534054,0.8201196845960581,16.0,0.010250029852072157,0.0035336244368567088,0.02522107943211473,0.0024220539603004706,2.160246899469287,0.08124679491383036,"[np.float64(0.656), np.float64(0.664), np.float64(0.662)]"
ViC,Jump 20,3,0.5511080940294663,0.8516914301095095,0.7344790686640014,0.8121827131386424,12.333333333333334,0.048320205826627806,0.015515713214182424,0.035975089184716764,0.0020473551903230497,4.109609335312651,0.10230856989049042,"[np.float64(0.843), np.float64(0.873), np.float64(0.838)]"
ViC,Jump 40,3,0.5119019930256791,0.8891099262064186,0.8043063455691538,0.7974084050376374,17.0,0.007374034164625614,0.008701862011345441,0.007923478878947681,0.0012579162382566345,0.816496580927726,0.08889007379358138,"[np.float64(0.88), np.float64(0.901), np.float64(0.887)]"
ViC,Jump 80,3,0.5381146636145391,0.9073295277000438,0.8155210712122969,0.7619336453629068,12.666666666666666,0.045600284135750124,0.005249522166845716,0.03068690523833229,0.005834376321601856,4.027681991198191,0.08167047229995616,"[np.float64(0.902), np.float64(0.905), np.float64(0.915)]"
ViC,Warm 05-08,3,0.5017510883875896,0.9263643871981172,0.8385027426566807,0.832248871714504,10.666666666666666,0.004545049260741518,0.006105814151392291,0.01429466565075481,0.002583930810181848,0.4714045207910317,0.0716356128018828,"[np.float64(0.922), np.float64(0.935), np.float64(0.923)]"
ViC,Warm 05-15,3,0.5020356331994965,0.9288126440404274,0.8509421953663082,0.8312485439156118,10.333333333333334,0.005065305384402354,0.006110603745451913,0.010985728830009076,0.002673670200496537,0.4714045207910317,0.0691873559595726,"[np.float64(0.92), np.float64(0.934), np.float64(0.933)]"
