item_type,split,n_replications,test_loss_nll_mean,item_grade_pearson_r_mean,item_grade_spearman_r_mean,ability_recovery_pearson_r_mean,n_steps_run_mean,test_loss_nll_std,item_grade_pearson_r_std,item_grade_spearman_r_std,ability_recovery_pearson_r_std,n_steps_run_std,gap_vs_paper,item_grade_pearson_r_per_replication
Y/N Vocab,Cold,3,0.6453431617500032,0.0960709196892263,0.1279556266507709,0.7961485237833132,7.0,0.003623516661131992,0.021487281073661636,0.019600272829209748,0.0166544987362649,0.0,0.6889290803107737,"[np.float64(0.099), np.float64(0.121), np.float64(0.069)]"
Y/N Vocab,Jump 20,3,0.647326760164822,0.14492850863712506,0.17439392557661862,0.7686014404891717,7.0,0.0010611714017006923,0.008079104723583488,0.011542259862340505,0.007429875006496112,0.0,0.791071491362875,"[np.float64(0.136), np.float64(0.143), np.float64(0.156)]"
Y/N Vocab,Jump 40,3,0.6505157797954191,0.15141038475350432,0.19539182789306778,0.7375799231911313,7.0,0.001840907085760793,0.015510970584266056,0.01224435500117584,0.0016739004872617432,0.0,0.8035896152464956,"[np.float64(0.138), np.float64(0.173), np.float64(0.143)]"
Y/N Vocab,Jump 80,3,0.649029129950533,0.14222287628389682,0.19900830164813954,0.6867073747077693,7.0,0.000714517081703735,0.03159292304431816,0.025644253622506757,0.01405513521162119,0.0,0.8287771237161031,"[np.float64(0.104), np.float64(0.142), np.float64(0.181)]"
Y/N Vocab,Warm 05-08,3,0.6465812611163672,0.15409323148036405,0.19993082938373571,0.8232661948335481,7.0,0.004531558163758411,0.019681559672253934,0.01863317297100852,0.01423190816448607,0.0,0.832906768519636,"[np.float64(0.142), np.float64(0.182), np.float64(0.139)]"
Y/N Vocab,Warm 05-15,3,0.6416722017700287,0.16901252976045353,0.19327386992350734,0.8297016749613983,7.0,0.0005457840848368488,0.023717112844365545,0.02529347259896783,0.005512897330347853,0.0,0.8179874702395464,"[np.float64(0.136), np.float64(0.18), np.float64(0.191)]"
ViC,Cold,3,0.6807358150099736,0.31634826558143964,0.2426629762657143,0.803328120495799,7.0,0.0018685341362700222,0.009909739567573225,0.012067673307720567,0.0015582663630476293,0.0,0.42565173441856036,"[np.float64(0.308), np.float64(0.33), np.float64(0.311)]"
ViC,Jump 20,3,0.6808399844102402,0.3702901113101113,0.3277239655037052,0.8009338686471398,7.0,0.005050729073929986,0.028167731083575974,0.03456956922273358,0.015136347153711725,0.0,0.5837098886898886,"[np.float64(0.336), np.float64(0.37), np.float64(0.405)]"
ViC,Jump 40,3,0.6828289006856526,0.38032727003397593,0.32639734519764296,0.7905569698696747,7.0,0.003175643837526645,0.003889082009457443,0.013943248130887122,0.007557646413761754,0.0,0.597672729966024,"[np.float64(0.377), np.float64(0.378), np.float64(0.386)]"
ViC,Jump 80,3,0.6793723340395439,0.4033801839070845,0.34603246371914625,0.7704376937243612,7.0,0.0026503651602478094,0.03250147957637285,0.04452629706195496,0.005445203414024816,0.0,0.5856198160929155,"[np.float64(0.421), np.float64(0.358), np.float64(0.431)]"
ViC,Warm 05-08,3,0.677626166036354,0.4514941497254588,0.3690387729053058,0.8117954583793029,7.0,0.0049870046039872445,0.03038773978254516,0.03222943873522191,0.02034281832587105,0.0,0.5465058502745412,"[np.float64(0.494), np.float64(0.428), np.float64(0.432)]"
ViC,Warm 05-15,3,0.6705830884477165,0.4625849440793033,0.40439561413632674,0.8437436186594097,7.0,0.0054415796305365685,0.05503254248201486,0.025955881883971795,0.009351418098969635,0.0,0.5354150559206967,"[np.float64(0.482), np.float64(0.518), np.float64(0.388)]"
