item_type,jump_r,step,loss_nonparametric,loss_parametric,held_out_test_loss_nll,held_out_pearson,held_out_spearman
Y/N Vocab,40,1,0.5798,0.6124,0.6188,0.8906,0.7062
Y/N Vocab,40,2,0.5802,0.5984,0.5963,0.8692,0.6663
Y/N Vocab,40,3,0.5693,0.5847,0.5844,0.8933,0.7024
Y/N Vocab,40,4,0.5636,0.5807,0.5718,0.8859,0.7295
Y/N Vocab,40,5,0.5539,0.5695,0.5578,0.9047,0.7619
Y/N Vocab,40,6,0.5451,0.5626,0.5539,0.8897,0.7293
Y/N Vocab,40,7,0.5392,0.551,0.5429,0.9013,0.7575
Y/N Vocab,40,8,0.5351,0.5518,0.549,0.8815,0.7097
Y/N Vocab,40,9,0.5372,0.5526,0.5478,0.8783,0.7165
Y/N Vocab,40,10,0.536,0.5484,0.5427,0.9048,0.7721
Y/N Vocab,40,11,0.5325,0.5447,0.5395,0.9057,0.7618
Y/N Vocab,40,12,0.5286,0.5452,0.5436,0.9004,0.7528
ViC,20,1,0.5545,0.613,0.6108,0.8726,0.7503
ViC,20,2,0.5584,0.5967,0.5766,0.8582,0.7922
ViC,20,3,0.5366,0.5707,0.5431,0.9004,0.8648
ViC,20,4,0.5158,0.5502,0.5233,0.9036,0.8492
ViC,20,5,0.5015,0.5387,0.5143,0.9153,0.8497
ViC,20,6,0.4896,0.5234,0.4897,0.9296,0.8827
ViC,20,7,0.4728,0.5097,0.4847,0.9223,0.8775
ViC,20,8,0.4648,0.4996,0.4765,0.9241,0.8675
ViC,20,9,0.4604,0.4973,0.4776,0.9151,0.8876
ViC,20,10,0.4614,0.4976,0.4819,0.8973,0.8544
ViC,20,11,0.4582,0.4948,0.4778,0.9131,0.8837
ViC,20,12,0.4538,0.4873,0.4681,0.9188,0.8827
ViC,20,13,0.4543,0.4877,0.472,0.9128,0.8613
