split,n_steps_run,stopped_reason,elapsed_seconds,test_loss_nll,item_grade_pearson_r,item_grade_spearman_r,ability_recovery_pearson_r,paper_pearson,synthetic_baseline_pearson,gap_vs_paper,gain_vs_synthetic
Cold,9,converged,111.0,0.5799095677963543,0.6848031522965784,0.6821280204527741,0.765795747037858,0.742,0.572,0.0572,0.1128
Jump 20,11,converged,147.2,0.5255628078026168,0.9180663938867307,0.9222330313928273,0.8221990960964691,0.954,0.903,0.0359,0.0151
Jump 40,7,converged,97.6,0.5583091221772923,0.9500220295525503,0.9547185323287828,0.7604551624022875,0.978,0.927,0.028,0.023
Jump 80,9,converged,127.6,0.532092799371787,0.9640132475145021,0.9669808014004148,0.7469975412583005,0.989,0.943,0.025,0.021
Warm 05-08,14,converged,202.2,0.4112928499858733,0.9819837485238481,0.9863806844819503,0.8420008427606049,0.998,0.963,0.016,0.019
Warm 05-15,11,converged,165.4,0.41749270612059003,0.9847668285400694,0.9861462728551337,0.8367358773976084,0.998,0.964,0.0132,0.0208
Cold,20,hit_max_em_steps,271.5,0.498988735358996,0.699721667680492,0.6820909517112049,0.7898583227656144,0.742,0.572,0.0423,0.1277
Jump 20,20,hit_max_em_steps,279.5,0.44396869313032183,0.9548696269034838,0.9589826238772252,0.8105272774400056,0.954,0.903,-0.0009,0.0519
Jump 40,20,hit_max_em_steps,272.5,0.4435339141115257,0.9606415360458427,0.9650722582971633,0.8124226837943729,0.978,0.927,0.0174,0.0336
Jump 80,18,converged,261.5,0.46560944416574607,0.9654432967612804,0.9754965464929232,0.7636724946623635,0.989,0.943,0.0236,0.0224
Warm 05-08,19,converged,280.8,0.4218982379288872,0.9817133376637204,0.9879921940640474,0.8313452320614554,0.998,0.963,0.0163,0.0187
Warm 05-15,11,converged,164.1,0.41900779737925725,0.9824479049953048,0.9868726414488617,0.8368808997124983,0.998,0.964,0.0156,0.0184
Cold,20,hit_max_em_steps,274.8,0.49793545848172605,0.7403609846963369,0.7432767421408818,0.8086616681241048,0.742,0.572,0.0016,0.1684
Jump 20,8,converged,109.3,0.5413124518177989,0.9455568544674106,0.9486001542904825,0.7737625027464714,0.954,0.903,0.0084,0.0426
Jump 40,20,hit_max_em_steps,278.2,0.45300020620046977,0.9665042931033937,0.9723279123754704,0.796271527412439,0.978,0.927,0.0115,0.0395
Jump 80,18,converged,273.5,0.4840525463740771,0.9725820194564752,0.9757121154830932,0.7833149112090199,0.989,0.943,0.0164,0.0296
Warm 05-08,12,converged,181.3,0.4467684534162377,0.9773429494553837,0.9876926700429307,0.8303450682680001,0.998,0.963,0.0207,0.0143
Warm 05-15,13,converged,179.9,0.4493967822147316,0.9817409109293898,0.9861923477054774,0.8207664545428577,0.998,0.964,0.0163,0.0177
Cold,13,converged,169.2,0.49668056916661346,0.7321570255861473,0.7234815632921499,0.7440844976296433,0.742,0.572,0.0098,0.1602
Jump 20,20,hit_max_em_steps,268.7,0.457902363261122,0.937172751110148,0.9372172142691467,0.8121581792345456,0.954,0.903,0.0168,0.0342
Jump 40,16,converged,224.9,0.4601609121623198,0.9441588274486177,0.941396406427642,0.813547020648236,0.978,0.927,0.0338,0.0172
Jump 80,20,converged,402.6,0.46029631136821975,0.9525342461286492,0.9549486670254198,0.7851646442141432,0.989,0.943,0.0365,0.0095
Warm 05-08,20,hit_max_em_steps,369.7,0.4325657552938934,0.9809115897579297,0.9910921496428995,0.8328244075084801,0.998,0.963,0.0171,0.0179
Warm 05-15,15,converged,224.8,0.4263287567270802,0.9795919616922119,0.9907172995780592,0.8410634416729114,0.998,0.964,0.0184,0.0156
Cold,14,converged,182.0,0.515951085862137,0.7170244517629272,0.695124238162213,0.8196566756050269,0.742,0.572,0.025,0.145
Jump 20,20,hit_max_em_steps,277.7,0.45143810359897185,0.9456833508812003,0.9404531131935252,0.826891328659879,0.954,0.903,0.0083,0.0427
Jump 40,14,converged,213.9,0.4693433253405568,0.9581669817074743,0.9551101734646039,0.8129737766831004,0.978,0.927,0.0198,0.0312
Jump 80,20,converged,283.9,0.44216235221450195,0.9711091223733848,0.9683309892170652,0.8071565566971968,0.989,0.943,0.0179,0.0281
Warm 05-08,20,hit_max_em_steps,344.2,0.4272622902714136,0.9883465514864127,0.9895452414439758,0.8433294810545243,0.998,0.963,0.0097,0.0253
Warm 05-15,14,converged,265.2,0.4298237551322713,0.9880481090807609,0.9892931862170945,0.843541643336132,0.998,0.964,0.01,0.024
Cold,20,hit_max_em_steps,249.4,0.5168398772477534,0.64800147447532,0.6492416607892747,0.8113747675719989,0.742,0.572,0.094,0.076
Jump 20,16,converged,202.5,0.45341380746704607,0.9120262879368061,0.9210321204572154,0.8153897010568569,0.954,0.903,0.042,0.009
Jump 40,20,hit_max_em_steps,263.6,0.46914029820625025,0.9530898946958046,0.9625913545087754,0.7936120409688086,0.978,0.927,0.0249,0.0261
Jump 80,20,hit_max_em_steps,259.1,0.44308274964530947,0.9716631925175858,0.9784867468917839,0.791012643369964,0.989,0.943,0.0173,0.0287
Warm 05-08,11,converged,148.1,0.4402940963315067,0.9792824073277082,0.9798635695043212,0.8340034830447716,0.998,0.963,0.0187,0.0163
Warm 05-15,13,converged,177.7,0.4363969958835202,0.9802366454285296,0.9844291164557019,0.8334074050270753,0.998,0.964,0.0178,0.0162
