split,n_steps_run,stopped_reason,elapsed_seconds,test_loss_nll,item_grade_pearson_r,item_grade_spearman_r,ability_recovery_pearson_r,paper_pearson,synthetic_baseline_pearson,gap_vs_paper,gain_vs_synthetic
Cold,13,converged,186.3,0.5559102937367593,0.6482658049148559,0.6165128807113287,0.8391932855208754,0.785,0.619,0.1367,0.0293
Jump 20,9,converged,136.9,0.531316422827839,0.8881288710714759,0.8638560503635134,0.8300879931973102,0.936,0.857,0.0479,0.0311
Jump 40,12,converged,188.3,0.5229592966619545,0.9226517363870932,0.9058660384905997,0.8318445701177521,0.955,0.898,0.0323,0.0247
Jump 80,13,converged,214.4,0.5107883435129752,0.9315379539780755,0.9142307022205697,0.826707238163273,0.971,0.928,0.0395,0.0035
Warm 05-08,11,converged,195.3,0.5034439287769799,0.9661095358742247,0.9643467964756721,0.865355126268412,0.987,0.965,0.0209,0.0011
Warm 05-15,9,converged,159.8,0.5056844566979646,0.9702867344841568,0.9675540558334431,0.862351576267688,0.987,0.965,0.0167,0.0053
Cold,14,converged,179.9,0.5481613041248591,0.6679440901632454,0.66032977553844,0.8479966523451563,0.785,0.619,0.1171,0.0489
Jump 20,17,converged,291.2,0.5191931930105946,0.8579251536296482,0.8520711216414473,0.8457320763138465,0.936,0.857,0.0781,0.0009
Jump 40,9,converged,154.2,0.507011730212796,0.9041681361932685,0.9012452131134971,0.8405625118934741,0.955,0.898,0.0508,0.0062
Jump 80,13,converged,243.8,0.5151396392001373,0.9330458713064945,0.9366291271874693,0.8119552491891016,0.971,0.928,0.038,0.005
Warm 05-08,8,converged,124.9,0.49763705157150934,0.9660081224741495,0.9657300324458865,0.8551919217436406,0.987,0.965,0.021,0.001
Warm 05-15,9,converged,147.3,0.49537446117169276,0.9688281540522435,0.9675994200629808,0.8553166930685013,0.987,0.965,0.0182,0.0038
Cold,17,converged,258.6,0.5349924939754882,0.7222550509763477,0.705998332368861,0.845223069518759,0.785,0.619,0.0627,0.1033
Jump 20,10,converged,154.7,0.5116666783323877,0.909917113439014,0.9039645352815122,0.8520188928444433,0.936,0.857,0.0261,0.0529
Jump 40,11,converged,176.2,0.5097485125510576,0.9231105944075173,0.9160698237371755,0.8417956972474102,0.955,0.898,0.0319,0.0251
Jump 80,9,converged,145.4,0.501393426937024,0.9480413278645166,0.9431858688708725,0.8318458116730394,0.971,0.928,0.023,0.02
Warm 05-08,9,converged,151.3,0.5024180518186059,0.9682535670839044,0.9636259065970353,0.8537565154436985,0.987,0.965,0.0187,0.0033
Warm 05-15,9,converged,156.9,0.5014012099650996,0.9665775726664503,0.9628356815858483,0.8591954466877739,0.987,0.965,0.0204,0.0016
Cold,17,converged,272.3,0.5689528026000172,0.6211954393530328,0.6247163204734416,0.8526695563775555,0.785,0.619,0.1638,0.0022
Jump 20,12,converged,195.6,0.5432881840105716,0.8623536900042972,0.86515086058011,0.8472458289874606,0.936,0.857,0.0736,0.0054
Jump 40,13,converged,216.4,0.5326259032843538,0.8878514431918008,0.887013444178377,0.839647219190709,0.955,0.898,0.0671,-0.0101
Jump 80,12,converged,202.1,0.529829735189744,0.9372690478947844,0.9390370737854776,0.82933544433819,0.971,0.928,0.0337,0.0093
Warm 05-08,9,converged,159.9,0.5277665389928625,0.9604376405585529,0.9603128322390967,0.8579497369256777,0.987,0.965,0.0266,-0.0046
Warm 05-15,9,converged,164.1,0.5276378063198771,0.9627466777784524,0.9600488555484975,0.8608348508374337,0.987,0.965,0.0243,-0.0023
Cold,13,converged,215.9,0.5476585717743516,0.6520599459246987,0.6565553755000247,0.8228182820739185,0.785,0.619,0.1329,0.0331
Jump 20,12,converged,199.6,0.5149379052901726,0.8765657034103314,0.8731976944725911,0.837635281586995,0.936,0.857,0.0594,0.0196
Jump 40,13,converged,222.9,0.5091166529970493,0.9085977891992034,0.9058605375551674,0.8285374734422045,0.955,0.898,0.0464,0.0106
Jump 80,11,converged,190.8,0.5073632378562823,0.924954137124234,0.9259841343792302,0.8165092282092506,0.971,0.928,0.046,-0.003
Warm 05-08,8,converged,143.0,0.5047274042171265,0.963618890648015,0.9654499892887848,0.8531125918430313,0.987,0.965,0.0234,-0.0014
Warm 05-15,9,converged,157.3,0.5012809099986546,0.96736671375745,0.9670553368326403,0.8558071970123515,0.987,0.965,0.0196,0.0024
Cold,14,converged,190.0,0.5527043216135239,0.645982128676028,0.632636588782483,0.8460374317813075,0.785,0.619,0.139,0.027
Jump 20,10,converged,141.7,0.5155019655644825,0.8900598263565855,0.894993275241927,0.8494884162541539,0.936,0.857,0.0459,0.0331
Jump 40,14,converged,200.7,0.5193540702805681,0.8950062068406648,0.9068263903324432,0.8349375754510268,0.955,0.898,0.06,-0.003
Jump 80,14,converged,209.8,0.5138576134738343,0.9289743956394955,0.9352529496978446,0.8221064162775341,0.971,0.928,0.042,0.001
Warm 05-08,8,converged,124.8,0.5020453060621153,0.967090908346147,0.9703142098001166,0.8587455411849586,0.987,0.965,0.0199,0.0021
Warm 05-15,9,converged,165.7,0.4941673408636612,0.9670328102386665,0.969558619991156,0.8601506524827687,0.987,0.965,0.02,0.002
Cold,13,converged,288.2,0.5437055678655376,0.6363128153649317,0.6093739443966152,0.8383699129886835,0.785,0.619,0.1487,0.0173
Jump 20,10,converged,196.0,0.5198940171717102,0.8826913020517102,0.8937132149368593,0.8383507260609784,0.936,0.857,0.0533,0.0257
Jump 40,12,converged,204.9,0.5140543631848334,0.910499455406052,0.9250214898634617,0.835920239925733,0.955,0.898,0.0445,0.0125
